"Name","Live Bytes","Live Objects"
"org.springframework.boot.cloud.CloudPlatform$4","24 B (0%)","1 (0%)"
"org.springframework.boot.cloud.CloudPlatform$3","24 B (0%)","1 (0%)"
"org.springframework.boot.cloud.CloudPlatform$2","24 B (0%)","1 (0%)"
"org.thymeleaf.engine.TemplateEnd","24 B (0%)","1 (0%)"
"sun.nio.cs.StandardCharsets","24 B (0%)","1 (0%)"
"org.springframework.data.mapping.context.PersistentPropertyPathFactory","24 B (0%)","1 (0%)"
"org.springframework.data.jpa.repository.query.QueryParameterSetter$ErrorHandling[]","24 B (0%)","1 (0%)"
"org.hibernate.type.descriptor.java.ZonedDateTimeJavaDescriptor","24 B (0%)","1 (0%)"
"net.bytebuddy.description.method.ParameterDescription$ForLoadedParameter$Dispatcher$CreationAction[]","24 B (0%)","1 (0%)"
"java.net.Inet6AddressImpl","24 B (0%)","1 (0%)"
"java.time.zone.TzdbZoneRulesProvider","24 B (0%)","1 (0%)"
"org.hibernate.dialect.function.StandardAnsiSqlAggregationFunctions$SumFunction","24 B (0%)","1 (0%)"
"sun.management.RuntimeImpl","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.annotation.SuperCall$Binder[]","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.jdbc.JdbcProperties$Template","24 B (0%)","1 (0%)"
"net.bytebuddy.dynamic.scaffold.subclass.SubclassImplementationTarget$Factory[]","24 B (0%)","1 (0%)"
"org.hibernate.boot.internal.ClassLoaderAccessImpl","24 B (0%)","1 (0%)"
"java.time.ZoneRegion","24 B (0%)","1 (0%)"
"net.bytebuddy.dynamic.DynamicType$Default$Dispatcher$CreationAction[]","24 B (0%)","1 (0%)"
"org.springframework.web.method.HandlerTypePredicate","24 B (0%)","1 (0%)"
"java.util.Collections$EmptyMap","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.annotation.DefaultMethod$Binder","24 B (0%)","1 (0%)"
"org.springframework.beans.support.ResourceEditorRegistrar","24 B (0%)","1 (0%)"
"org.springframework.objenesis.SpringObjenesis","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.condition.ConditionMessage$Style$2","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.condition.ConditionMessage$Style$1","24 B (0%)","1 (0%)"
"org.hibernate.event.spi.ResolveNaturalIdEventListener[]","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.Implementation$Target$AbstractBase$DefaultMethodInvocation$1","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.Implementation$Target$AbstractBase$DefaultMethodInvocation$2","24 B (0%)","1 (0%)"
"net.bytebuddy.dynamic.scaffold.TypeWriter$Default$ClassDumpAction$Dispatcher$Disabled[]","24 B (0%)","1 (0%)"
"org.hibernate.engine.jdbc.dialect.internal.DialectFactoryImpl","24 B (0%)","1 (0%)"
"net.bytebuddy.ClassFileVersion$VersionLocator$ForJava9CapableVm","24 B (0%)","1 (0%)"
"org.hibernate.type.descriptor.java.NClobTypeDescriptor","24 B (0%)","1 (0%)"
"org.hibernate.exception.internal.SQLStateConverter$1","24 B (0%)","1 (0%)"
"sun.rmi.runtime.RuntimeUtil$1","24 B (0%)","1 (0%)"
"net.minidev.json.reader.JsonWriter","24 B (0%)","1 (0%)"
"org.hibernate.jpa.internal.JpaComplianceImpl","24 B (0%)","1 (0%)"
"org.hibernate.event.spi.InitializeCollectionEventListener[]","24 B (0%)","1 (0%)"
"org.hibernate.type.descriptor.sql.spi.SqlTypeDescriptorRegistry","24 B (0%)","1 (0%)"
"com.fasterxml.jackson.databind.introspect.AnnotatedClass$Creators","24 B (0%)","1 (0%)"
"org.hibernate.type.descriptor.java.CalendarDateTypeDescriptor","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.annotation.Default$Binder","24 B (0%)","1 (0%)"
"org.springframework.data.repository.support.DefaultRepositoryInvokerFactory","24 B (0%)","1 (0%)"
"java.lang.ClassLoader[]","24 B (0%)","1 (0%)"
"org.springframework.beans.propertyeditors.PropertiesEditor","24 B (0%)","1 (0%)"
"org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker","24 B (0%)","1 (0%)"
"net.bytebuddy.dynamic.scaffold.subclass.SubclassImplementationTarget$OriginTypeResolver$1","24 B (0%)","1 (0%)"
"net.bytebuddy.dynamic.scaffold.subclass.SubclassImplementationTarget$OriginTypeResolver$2","24 B (0%)","1 (0%)"
"org.hibernate.type.descriptor.java.DurationJavaDescriptor","24 B (0%)","1 (0%)"
"java.time.zone.ZoneOffsetTransition[]","24 B (0%)","1 (0%)"
"org.springframework.boot.builder.ParentContextCloserApplicationListener","24 B (0%)","1 (0%)"
"net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default$Merger$Directional[]","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.annotation.This$Binder[]","24 B (0%)","1 (0%)"
"java.time.Period","24 B (0%)","1 (0%)"
"java.time.temporal.IsoFields$Unit[]","24 B (0%)","1 (0%)"
"org.hibernate.type.TypeResolver","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.SuperMethodCall$Appender$TerminationHandler[]","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.task.TaskSchedulingProperties$Shutdown","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.Implementation$Context$Default$Factory[]","24 B (0%)","1 (0%)"
"sun.security.rsa.RSAUtil$KeyType[]","24 B (0%)","1 (0%)"
"javax.persistence.CacheRetrieveMode[]","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.web.servlet.error.ErrorMvcAutoConfiguration$ErrorPageCustomizer","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.security.oauth2.resource.OAuth2ResourceServerProperties","24 B (0%)","1 (0%)"
"java.io.File$PathStatus[]","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.web.embedded.TomcatWebServerFactoryCustomizer","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.orm.jpa.HibernateProperties","24 B (0%)","1 (0%)"
"net.bytebuddy.description.type.TypeDescription$Generic$AnnotationReader$Dispatcher$CreationAction","24 B (0%)","1 (0%)"
"org.hibernate.event.spi.PostDeleteEventListener[]","24 B (0%)","1 (0%)"
"org.springframework.boot.web.servlet.server.DocumentRoot","24 B (0%)","1 (0%)"
"org.apache.logging.log4j.spi.LoggerRegistry","24 B (0%)","1 (0%)"
"net.bytebuddy.description.type.TypeDescription$Generic$Visitor$Reifying$1","24 B (0%)","1 (0%)"
"net.bytebuddy.description.type.TypeDescription$Generic$Visitor$Reifying$2","24 B (0%)","1 (0%)"
"org.hibernate.boot.internal.BootstrapContextImpl$1","24 B (0%)","1 (0%)"
"sun.util.locale.provider.CalendarProviderImpl","24 B (0%)","1 (0%)"
"org.slf4j.impl.StaticLoggerBinder","24 B (0%)","1 (0%)"
"org.springframework.data.geo.format.PointFormatter","24 B (0%)","1 (0%)"
"sun.nio.cs.UTF_16","24 B (0%)","1 (0%)"
"org.springframework.cglib.core.internal.LoadingCache","24 B (0%)","1 (0%)"
"org.springframework.jmx.export.naming.MetadataNamingStrategy","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bytecode.assign.Assigner$Typing[]","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.web.ServerProperties$Undertow$Options","24 B (0%)","1 (0%)"
"sun.net.ProgressMonitor","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.annotation.FieldValue$Binder","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.http.HttpProperties","24 B (0%)","1 (0%)"
"net.bytebuddy.matcher.StringMatcher$Mode$1","24 B (0%)","1 (0%)"
"net.bytebuddy.matcher.StringMatcher$Mode$2","24 B (0%)","1 (0%)"
"net.bytebuddy.matcher.StringMatcher$Mode$3","24 B (0%)","1 (0%)"
"net.bytebuddy.matcher.StringMatcher$Mode$4","24 B (0%)","1 (0%)"
"net.bytebuddy.matcher.StringMatcher$Mode$5","24 B (0%)","1 (0%)"
"net.bytebuddy.matcher.StringMatcher$Mode$6","24 B (0%)","1 (0%)"
"net.bytebuddy.matcher.StringMatcher$Mode$7","24 B (0%)","1 (0%)"
"net.bytebuddy.matcher.StringMatcher$Mode$8","24 B (0%)","1 (0%)"
"net.bytebuddy.matcher.StringMatcher$Mode$9","24 B (0%)","1 (0%)"
"org.apache.tomcat.websocket.server.WsFilter","24 B (0%)","1 (0%)"
"org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration","24 B (0%)","1 (0%)"
"org.hibernate.type.descriptor.java.UUIDTypeDescriptor","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$Jackson2ObjectMapperBuilderCustomizerConfiguration$StandardJackson2ObjectMapperBuilderCustomizer","24 B (0%)","1 (0%)"
"net.bytebuddy.description.annotation.AnnotationSource$Empty[]","24 B (0%)","1 (0%)"
"org.hibernate.event.spi.PreDeleteEventListener[]","24 B (0%)","1 (0%)"
"org.springframework.boot.context.properties.source.DefaultPropertyMapper","24 B (0%)","1 (0%)"
"org.springframework.beans.propertyeditors.CurrencyEditor","24 B (0%)","1 (0%)"
"org.hibernate.boot.archive.scan.internal.ScanResultImpl","24 B (0%)","1 (0%)"
"sun.util.locale.BaseLocale$Cache","24 B (0%)","1 (0%)"
"org.hibernate.query.ImmutableEntityUpdateQueryHandlingMode[]","24 B (0%)","1 (0%)"
"net.bytebuddy.NamingStrategy$SuffixingRandom$BaseNameResolver$ForUnnamedType[]","24 B (0%)","1 (0%)"
"org.hibernate.cfg.MetadataSourceType[]","24 B (0%)","1 (0%)"
"java.lang.management.DefaultPlatformMBeanProvider$10","24 B (0%)","1 (0%)"
"java.lang.management.DefaultPlatformMBeanProvider$11","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.DeclaringTypeResolver","24 B (0%)","1 (0%)"
"org.hibernate.type.descriptor.java.DoubleTypeDescriptor","24 B (0%)","1 (0%)"
"ch.qos.logback.core.subst.Node$Type[]","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.attribute.AnnotationRetention[]","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.annotation.This$Binder","24 B (0%)","1 (0%)"
"sun.rmi.transport.SequenceEntry","24 B (0%)","1 (0%)"
"net.bytebuddy.dynamic.loading.ClassInjector$UsingLookup$Dispatcher$Creator","24 B (0%)","1 (0%)"
"org.springframework.security.config.annotation.web.configurers.HeadersConfigurer$HstsConfig","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.attribute.MethodAttributeAppender$NoOp","24 B (0%)","1 (0%)"
"org.springframework.security.config.annotation.web.configurers.HeadersConfigurer$FeaturePolicyConfig","24 B (0%)","1 (0%)"
"sun.util.locale.provider.TimeZoneNameProviderImpl","24 B (0%)","1 (0%)"
"org.h2.store.fs.FilePathNio","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.security.SecurityProperties$Filter","24 B (0%)","1 (0%)"
"org.springframework.boot.web.embedded.tomcat.TomcatStarter","24 B (0%)","1 (0%)"
"net.bytebuddy.dynamic.scaffold.MethodGraph$Compiler$Default$Harmonizer$ForJavaMethod","24 B (0%)","1 (0%)"
"org.hibernate.internal.SessionOwnerBehavior[]","24 B (0%)","1 (0%)"
"jdk.internal.logger.BootstrapLogger$RedirectedLoggers","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.annotation.SuperMethod$Binder[]","24 B (0%)","1 (0%)"
"org.thymeleaf.templateparser.markup.decoupled.StandardDecoupledTemplateLogicResolver","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.transaction.TransactionProperties","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.web.embedded.TomcatWebServerFactoryCustomizer$$Lambda$573.0x0000000800e953d8","24 B (0%)","1 (0%)"
"org.hibernate.type.descriptor.java.PrimitiveByteArrayTypeDescriptor","24 B (0%)","1 (0%)"
"org.apache.tomcat.util.net.SocketBufferHandler$1","24 B (0%)","1 (0%)"
"com.jayway.jsonpath.spi.json.JsonSmartJsonProvider","24 B (0%)","1 (0%)"
"com.sun.jmx.mbeanserver.ClassLoaderRepositorySupport","24 B (0%)","1 (0%)"
"org.springframework.data.repository.support.Repositories$EmptyRepositoryFactoryInformation[]","24 B (0%)","1 (0%)"
"org.springframework.data.jpa.repository.query.QueryParameterSetter$ErrorHandling$2","24 B (0%)","1 (0%)"
"org.springframework.data.jpa.repository.query.QueryParameterSetter$ErrorHandling$1","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.MethodDelegationBinder$MethodInvoker$Simple","24 B (0%)","1 (0%)"
"org.hibernate.engine.jdbc.spi.SqlExceptionHelper","24 B (0%)","1 (0%)"
"org.springframework.boot.context.properties.ConfigurationPropertiesBean$BindMethod[]","24 B (0%)","1 (0%)"
"org.hibernate.event.spi.FlushEventListener[]","24 B (0%)","1 (0%)"
"org.hibernate.type.descriptor.java.ByteArrayTypeDescriptor","24 B (0%)","1 (0%)"
"org.springframework.web.context.support.ServletContextPropertySource","24 B (0%)","1 (0%)"
"org.springframework.web.servlet.i18n.AcceptHeaderLocaleResolver","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.Implementation$Target$AbstractBase$DefaultMethodInvocation[]","24 B (0%)","1 (0%)"
"org.springframework.data.repository.support.Repositories$EmptyRepositoryFactoryInformation","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.freemarker.FreeMarkerTemplateAvailabilityProvider","24 B (0%)","1 (0%)"
"org.springframework.data.repository.util.QueryExecutionConverters$NullableWrapperToCompletableFutureConverter","24 B (0%)","1 (0%)"
"com.example.demo.web.UserController","24 B (0%)","1 (0%)"
"org.springframework.util.ConcurrentReferenceHashMap$ReferenceType[]","24 B (0%)","1 (0%)"
"org.springframework.boot.context.ContextIdApplicationContextInitializer$ContextId","24 B (0%)","1 (0%)"
"org.h2.store.fs.FilePathAsync","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.annotation.SuperCall$Binder","24 B (0%)","1 (0%)"
"org.hibernate.bytecode.internal.bytebuddy.BytecodeProviderImpl","24 B (0%)","1 (0%)"
"org.springframework.security.config.annotation.web.configuration.WebSecurityConfigurerAdapter$UserDetailsServiceDelegator","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.web.servlet.WebMvcProperties$LocaleResolver[]","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bytecode.assign.reference.ReferenceTypeAwareAssigner[]","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.info.ProjectInfoProperties","24 B (0%)","1 (0%)"
"net.bytebuddy.ClassFileVersion$VersionLocator$CreationAction[]","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.jdbc.DataSourceProperties$Xa","24 B (0%)","1 (0%)"
"org.springframework.data.jpa.repository.query.JpaQueryFactory[]","24 B (0%)","1 (0%)"
"sun.nio.cs.ISO_8859_1","24 B (0%)","1 (0%)"
"org.hibernate.event.spi.DeleteEventListener[]","24 B (0%)","1 (0%)"
"net.bytebuddy.description.annotation.AnnotationValue$ForConstant$PropertyDelegate$ForNonArrayType$1","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.jdbc.DataSourceAutoConfiguration$EmbeddedDatabaseCondition","24 B (0%)","1 (0%)"
"net.bytebuddy.description.annotation.AnnotationValue$ForConstant$PropertyDelegate$ForNonArrayType$8","24 B (0%)","1 (0%)"
"net.bytebuddy.description.annotation.AnnotationValue$ForConstant$PropertyDelegate$ForNonArrayType$9","24 B (0%)","1 (0%)"
"net.bytebuddy.description.annotation.AnnotationValue$ForConstant$PropertyDelegate$ForNonArrayType$6","24 B (0%)","1 (0%)"
"net.bytebuddy.description.annotation.AnnotationValue$ForConstant$PropertyDelegate$ForNonArrayType$7","24 B (0%)","1 (0%)"
"net.bytebuddy.description.annotation.AnnotationValue$ForConstant$PropertyDelegate$ForNonArrayType$4","24 B (0%)","1 (0%)"
"net.bytebuddy.description.annotation.AnnotationValue$ForConstant$PropertyDelegate$ForNonArrayType$5","24 B (0%)","1 (0%)"
"net.bytebuddy.description.annotation.AnnotationValue$ForConstant$PropertyDelegate$ForNonArrayType$2","24 B (0%)","1 (0%)"
"net.bytebuddy.description.annotation.AnnotationValue$ForConstant$PropertyDelegate$ForNonArrayType$3","24 B (0%)","1 (0%)"
"org.springframework.context.annotation.MBeanExportConfiguration$SpecificPlatform$1","24 B (0%)","1 (0%)"
"org.hibernate.boot.internal.ClassmateContext","24 B (0%)","1 (0%)"
"org.springframework.context.annotation.MBeanExportConfiguration$SpecificPlatform$2","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.LoadedTypeInitializer$NoOp","24 B (0%)","1 (0%)"
"org.springframework.security.web.csrf.HttpSessionCsrfTokenRepository","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.ArgumentTypeResolver","24 B (0%)","1 (0%)"
"com.fasterxml.jackson.databind.ser.impl.FailingSerializer","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.annotation.Default$Binder[]","24 B (0%)","1 (0%)"
"net.bytebuddy.pool.TypePool$Empty","24 B (0%)","1 (0%)"
"org.hibernate.type.descriptor.java.LongTypeDescriptor","24 B (0%)","1 (0%)"
"org.springframework.jndi.JndiTemplate","24 B (0%)","1 (0%)"
"java.security.Policy$PolicyInfo","24 B (0%)","1 (0%)"
"org.hibernate.event.spi.AutoFlushEventListener[]","24 B (0%)","1 (0%)"
"org.hibernate.type.descriptor.java.ShortTypeDescriptor","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.MethodDelegationBinder$TerminationHandler$Default[]","24 B (0%)","1 (0%)"
"com.sun.org.apache.xalan.internal.utils.XMLSecurityPropertyManager$Property[]","24 B (0%)","1 (0%)"
"org.hibernate.dialect.function.StandardAnsiSqlAggregationFunctions$AvgFunction","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController","24 B (0%)","1 (0%)"
"com.sun.management.internal.PlatformMBeanProviderImpl$1","24 B (0%)","1 (0%)"
"com.sun.management.internal.PlatformMBeanProviderImpl$5","24 B (0%)","1 (0%)"
"com.sun.management.internal.PlatformMBeanProviderImpl$4","24 B (0%)","1 (0%)"
"com.sun.management.internal.PlatformMBeanProviderImpl$3","24 B (0%)","1 (0%)"
"com.sun.management.internal.PlatformMBeanProviderImpl$2","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.MethodNameEqualityResolver[]","24 B (0%)","1 (0%)"
"sun.rmi.transport.DGCImpl","24 B (0%)","1 (0%)"
"org.hibernate.graph.GraphSemantic[]","24 B (0%)","1 (0%)"
"java.io.InputStreamReader","24 B (0%)","1 (0%)"
"org.hibernate.type.descriptor.java.PrimitiveCharacterArrayTypeDescriptor","24 B (0%)","1 (0%)"
"net.bytebuddy.dynamic.Transformer$NoOp","24 B (0%)","1 (0%)"
"net.bytebuddy.pool.TypePool$CacheProvider$NoOp[]","24 B (0%)","1 (0%)"
"org.hibernate.engine.spi.EffectiveEntityGraph","24 B (0%)","1 (0%)"
"org.springframework.beans.propertyeditors.CharArrayPropertyEditor","24 B (0%)","1 (0%)"
"org.springframework.data.mapping.context.AbstractMappingContext$PersistentPropertyFilter","24 B (0%)","1 (0%)"
"org.h2.value.CompareMode","24 B (0%)","1 (0%)"
"org.springframework.data.mapping.model.ClassGeneratingPropertyAccessorFactory","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bytecode.member.MethodVariableAccess$MethodLoading$TypeCastingHandler$NoOp[]","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.attribute.AnnotationValueFilter$Default$1","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.attribute.AnnotationValueFilter$Default$2","24 B (0%)","1 (0%)"
"net.bytebuddy.TypeCache$Sort$2","24 B (0%)","1 (0%)"
"net.bytebuddy.TypeCache$Sort$1","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.AutoConfigurationImportSelector$AutoConfigurationEntry","24 B (0%)","1 (0%)"
"org.springframework.context.support.PropertySourcesPlaceholderConfigurer$$Lambda$423.0x0000000800e1d178","24 B (0%)","1 (0%)"
"net.bytebuddy.description.type.TypeDescription$ForLoadedType$Dispatcher$CreationAction","24 B (0%)","1 (0%)"
"org.h2.store.fs.FilePathRetryOnInterrupt","24 B (0%)","1 (0%)"
"org.springframework.context.support.ApplicationContextAwareProcessor","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.annotation.DefaultMethod$Binder[]","24 B (0%)","1 (0%)"
"org.springframework.security.authentication.AnonymousAuthenticationProvider","24 B (0%)","1 (0%)"
"org.h2.store.fs.FilePathNioMapped","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.MethodDelegationBinder$BindingResolver$Default","24 B (0%)","1 (0%)"
"java.util.Locale$Category[]","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.jdbc.DataSourceJmxConfiguration$Hikari","24 B (0%)","1 (0%)"
"java.net.StandardProtocolFamily[]","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.FieldAccessor$FieldLocation$Relative","24 B (0%)","1 (0%)"
"org.springframework.security.config.annotation.web.configurers.HeadersConfigurer$FrameOptionsConfig","24 B (0%)","1 (0%)"
"org.hibernate.id.enhanced.NoopOptimizer","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.ArgumentTypeResolver[]","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.auxiliary.AuxiliaryType$NamingStrategy$SuffixingRandom","24 B (0%)","1 (0%)"
"org.hibernate.type.descriptor.java.InstantJavaDescriptor","24 B (0%)","1 (0%)"
"org.hibernate.jpa.internal.MutableJpaComplianceImpl","24 B (0%)","1 (0%)"
"net.bytebuddy.description.type.TypeDescription$Generic$Visitor$Reifying[]","24 B (0%)","1 (0%)"
"org.hibernate.annotations.PolymorphismType[]","24 B (0%)","1 (0%)"
"org.springframework.security.web.method.annotation.AuthenticationPrincipalArgumentResolver","24 B (0%)","1 (0%)"
"java.time.format.DecimalStyle","24 B (0%)","1 (0%)"
"org.springframework.context.annotation.ConfigurationClassEnhancer$ConditionalCallbackFilter","24 B (0%)","1 (0%)"
"org.apache.catalina.mapper.Mapper$MappedWrapper","24 B (0%)","1 (0%)"
"org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration$1","24 B (0%)","1 (0%)"
"org.hibernate.boot.registry.selector.internal.StrategySelectorImpl","24 B (0%)","1 (0%)"
"org.hibernate.validator.internal.metadata.descriptor.ConstraintDescriptorImpl$ConstraintType[]","24 B (0%)","1 (0%)"
"org.springframework.data.jpa.repository.query.StoredProcedureAttributeSource","24 B (0%)","1 (0%)"
"jdk.management.jfr.StreamManager","24 B (0%)","1 (0%)"
"sun.reflect.annotation.TypeAnnotation$LocationInfo","24 B (0%)","1 (0%)"
"org.h2.engine.Engine","24 B (0%)","1 (0%)"
"sun.management.MemoryImpl","24 B (0%)","1 (0%)"
"ch.qos.logback.classic.spi.TurboFilterList","24 B (0%)","1 (0%)"
"java.util.logging.LogManager$LoggerContext","24 B (0%)","1 (0%)"
"net.bytebuddy.dynamic.scaffold.TypeInitializer$None[]","24 B (0%)","1 (0%)"
"net.bytebuddy.description.type.TypeDescription$ForLoadedType$Dispatcher$ForJava11CapableVm","24 B (0%)","1 (0%)"
"com.fasterxml.jackson.annotation.JsonSetter$Value","24 B (0%)","1 (0%)"
"org.springframework.data.projection.DefaultMethodInvokingMethodInterceptor$MethodHandleLookup$1","24 B (0%)","1 (0%)"
"org.springframework.data.projection.DefaultMethodInvokingMethodInterceptor$MethodHandleLookup$3","24 B (0%)","1 (0%)"
"org.springframework.data.projection.DefaultMethodInvokingMethodInterceptor$MethodHandleLookup$2","24 B (0%)","1 (0%)"
"org.springframework.web.method.annotation.RequestHeaderMethodArgumentResolver","24 B (0%)","1 (0%)"
"org.slf4j.helpers.FormattingTuple","24 B (0%)","1 (0%)"
"org.springframework.beans.propertyeditors.UUIDEditor","24 B (0%)","1 (0%)"
"org.springframework.core.ReactiveAdapterRegistry","24 B (0%)","1 (0%)"
"net.bytebuddy.description.annotation.AnnotationSource$Empty","24 B (0%)","1 (0%)"
"org.springframework.boot.context.properties.bind.JavaBeanBinder$Bean","24 B (0%)","1 (0%)"
"net.bytebuddy.asm.AsmVisitorWrapper$NoOp","24 B (0%)","1 (0%)"
"javax.el.Util$CacheKey","24 B (0%)","1 (0%)"
"com.fasterxml.jackson.databind.introspect.JacksonAnnotationIntrospector","24 B (0%)","1 (0%)"
"org.springframework.data.geo.format.DistanceFormatter[]","24 B (0%)","1 (0%)"
"org.springframework.boot.context.properties.bind.BindConverter$TypeConverterConversionService","24 B (0%)","1 (0%)"
"org.springframework.security.config.annotation.authentication.configuration.AuthenticationConfiguration$LazyPasswordEncoder","24 B (0%)","1 (0%)"
"java.nio.file.CopyOption[]","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.annotation.BindingPriority$Resolver","24 B (0%)","1 (0%)"
"javax.websocket.CloseReason","24 B (0%)","1 (0%)"
"org.hibernate.dialect.Database$18","24 B (0%)","1 (0%)"
"org.hibernate.dialect.Database$19","24 B (0%)","1 (0%)"
"org.hibernate.dialect.Database$16","24 B (0%)","1 (0%)"
"org.hibernate.dialect.Database$17","24 B (0%)","1 (0%)"
"org.apache.tomcat.util.net.NioBlockingSelector","24 B (0%)","1 (0%)"
"org.hibernate.dialect.Database$21","24 B (0%)","1 (0%)"
"org.springframework.data.mapping.model.BeanWrapperPropertyAccessorFactory[]","24 B (0%)","1 (0%)"
"org.hibernate.dialect.Database$22","24 B (0%)","1 (0%)"
"org.hibernate.dialect.Database$20","24 B (0%)","1 (0%)"
"org.hibernate.dialect.Database$25","24 B (0%)","1 (0%)"
"org.hibernate.dialect.Database$26","24 B (0%)","1 (0%)"
"org.hibernate.dialect.Database$23","24 B (0%)","1 (0%)"
"org.hibernate.dialect.Database$24","24 B (0%)","1 (0%)"
"org.hibernate.dialect.Database$10","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.MethodDelegationBinder$TerminationHandler$Default$2","24 B (0%)","1 (0%)"
"org.hibernate.dialect.Database$11","24 B (0%)","1 (0%)"
"org.hibernate.dialect.Database$14","24 B (0%)","1 (0%)"
"org.hibernate.dialect.Database$15","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.MethodDelegationBinder$TerminationHandler$Default$1","24 B (0%)","1 (0%)"
"org.hibernate.dialect.Database$12","24 B (0%)","1 (0%)"
"org.hibernate.dialect.Database$13","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.bind.annotation.Empty$Binder[]","24 B (0%)","1 (0%)"
"com.sun.beans.util.Cache$Kind$2","24 B (0%)","1 (0%)"
"com.sun.beans.util.Cache$Kind$3","24 B (0%)","1 (0%)"
"com.sun.beans.util.Cache$Kind$1","24 B (0%)","1 (0%)"
"org.apache.catalina.mapper.Mapper$MappedContext[]","24 B (0%)","1 (0%)"
"net.bytebuddy.implementation.attribute.AnnotationValueFilter$Default[]","24 B (0%)","1 (0%)"
"net.bytebuddy.dynamic.scaffold.subclass.SubclassImplementationTarget$OriginTypeResolver[]","24 B (0%)","1 (0%)"
"org.hibernate.type.descriptor.java.BlobTypeDescriptor","24 B (0%)","1 (0%)"
"org.hibernate.engine.internal.AbstractEntityEntry$BooleanState[]","24 B (0%)","1 (0%)"
"javax.persistence.FlushModeType[]","24 B (0%)","1 (0%)"
"org.hibernate.hql.internal.ast.util.LiteralProcessor$DecimalLiteralFormat[]","24 B (0%)","1 (0%)"
