"Name","Total Time","Total Time (CPU)","Hits"
"  org.graalvm.visualvm.lib.jfluid.server.Monitors$SurvGenAndThreadsMonitor.updateThreadsData ()","88.2 ms (-0%)","88.2 ms (-0%)","1"
"   org.graalvm.visualvm.lib.jfluid.server.system.Threads.getAllThreads[native] ()","88.2 ms (-0%)","88.2 ms (-0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"*** Profiler Agent Special Execution Thread 6","823,570 ms (-0%)","97.9 ms (-0%)","1"
" org.graalvm.visualvm.lib.jfluid.server.ProfilerServer$SeparateCmdExecutionThread.run ()","823,570 ms (-0%)","97.9 ms (-0%)","1"
"  java.lang.Object.wait ()","822,001 ms (-0%)","0.0 ms (0%)","6"
"  org.graalvm.visualvm.lib.jfluid.server.ProfilerServer.sendComplexResponseToClient ()","1,242 ms (-0%)","97.9 ms (-0%)","2"
"   Self time","1,144 ms (-0%)","0.0 ms (0%)","2"
"   org.graalvm.visualvm.lib.jfluid.wireprotocol.WireIO.sendComplexResponse ()","97.9 ms (-0%)","97.9 ms (-0%)","1"
"    java.io.ObjectOutputStream.flush ()","97.9 ms (-0%)","97.9 ms (-0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  org.graalvm.visualvm.lib.jfluid.server.ProfilerInterface.dumpExistingResults ()","326 ms (-0%)","0.0 ms (0%)","3"
"   org.graalvm.visualvm.lib.jfluid.server.ProfilerRuntime.dumpEventBuffer ()","326 ms (-0%)","0.0 ms (0%)","3"
"    org.graalvm.visualvm.lib.jfluid.server.ProfilerInterface$1.handleEventBufferDump ()","326 ms (-0%)","0.0 ms (0%)","3"
"     org.graalvm.visualvm.lib.jfluid.server.EventBufferManager.eventBufferDumpHook ()","326 ms (-0%)","0.0 ms (0%)","3"
"      org.graalvm.visualvm.lib.jfluid.server.ProfilerServer.sendEventBufferDumpedCommand ()","326 ms (-0%)","0.0 ms (0%)","3"
"       org.graalvm.visualvm.lib.jfluid.server.ProfilerServer.getAndCheckLastResponse ()","326 ms (-0%)","0.0 ms (0%)","3"
"        org.graalvm.visualvm.lib.jfluid.server.ProfilerServer.getLastResponse ()","326 ms (-0%)","0.0 ms (0%)","3"
"         java.lang.Object.wait ()","326 ms (-0%)","0.0 ms (0%)","3"
"         Self time","0.0 ms (0%)","0.0 ms (0%)","3"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","3"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","3"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","3"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","3"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","3"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","3"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"*** Profiler Agent Special Execution Thread 2","4,186 ms (-0%)","2,347 ms (-0%)","1"
" org.graalvm.visualvm.lib.jfluid.server.ProfilerInterface$InitiateProfilingThread.run ()","4,186 ms (-0%)","2,347 ms (-0%)","1"
"  org.graalvm.visualvm.lib.jfluid.server.ProfilerInterface$InitiateProfilingThread.initiateInstrumentation ()","4,186 ms (-0%)","2,347 ms (-0%)","2"
"   org.graalvm.visualvm.lib.jfluid.server.ProfilerInterface.access$1200 ()","2,181 ms (-0%)","2,181 ms (-0%)","1"
"    org.graalvm.visualvm.lib.jfluid.server.ProfilerInterface.sendRootClassLoadedCommand ()","2,181 ms (-0%)","2,181 ms (-0%)","1"
"     org.graalvm.visualvm.lib.jfluid.server.ProfilerServer.sendComplexCmdToClient ()","1,576 ms (-0%)","1,576 ms (-0%)","1"
"      org.graalvm.visualvm.lib.jfluid.wireprotocol.WireIO.sendComplexCommand ()","1,576 ms (-0%)","1,576 ms (-0%)","1"
"       org.graalvm.visualvm.lib.jfluid.wireprotocol.RootClassLoadedCommand.writeObject ()","1,576 ms (-0%)","1,576 ms (-0%)","1"
"        java.io.ObjectOutputStream.write ()","1,476 ms (-0%)","1,476 ms (-0%)","1"
"        java.io.ObjectOutputStream.writeUTF ()","99.5 ms (-0%)","99.5 ms (-0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     org.graalvm.visualvm.lib.jfluid.server.ProfilerInterface.getClassFileBytes ()","375 ms (-0%)","375 ms (-0%)","1"
"      org.graalvm.visualvm.lib.jfluid.server.system.Classes.getCachedClassFileBytes[native] ()","294 ms (-0%)","294 ms (-0%)","1"
"      org.graalvm.visualvm.lib.jfluid.server.ClassBytesLoader.getClassFileBytes ()","80.2 ms (-0%)","80.2 ms (-0%)","1"
"       org.graalvm.visualvm.lib.jfluid.server.ClassBytesLoader.readUrl ()","80.2 ms (-0%)","80.2 ms (-0%)","1"
"        java.io.ByteArrayOutputStream.write ()","80.2 ms (-0%)","80.2 ms (-0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     java.lang.Class.getInterfaces ()","120 ms (-0%)","120 ms (-0%)","1"
"     Self time","109 ms (-0%)","109 ms (-0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   org.graalvm.visualvm.lib.jfluid.server.ProfilerInterface.access$1300 ()","1,941 ms (-0%)","102 ms (-0%)","2"
"    org.graalvm.visualvm.lib.jfluid.server.ProfilerInterface.getAndInstrumentClasses ()","1,941 ms (-0%)","102 ms (-0%)","2"
"     org.graalvm.visualvm.lib.jfluid.server.ProfilerServer.getLastResponse ()","1,839 ms (-0%)","0.0 ms (0%)","2"
"      java.lang.Object.wait ()","1,839 ms (-0%)","0.0 ms (0%)","2"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"     org.graalvm.visualvm.lib.jfluid.server.ProfilerInterface.instrumentMethodGroupNow ()","102 ms (-0%)","102 ms (-0%)","1"
"      org.graalvm.visualvm.lib.jfluid.server.ProfilerInterface.redefineClasses ()","102 ms (-0%)","102 ms (-0%)","1"
"       org.graalvm.visualvm.lib.jfluid.server.system.Classes.redefineClasses ()","102 ms (-0%)","102 ms (-0%)","1"
"        org.graalvm.visualvm.lib.jfluid.server.system.Classes.doRedefineClasses[native] ()","102 ms (-0%)","102 ms (-0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"   org.graalvm.visualvm.lib.jfluid.server.ProfilerInterface.access$900 ()","64.1 ms (-0%)","64.1 ms (-0%)","1"
